year,commune,rate,n,reason,components
2009,Käerjeng,,211,component unavailable,Bascharage | Clémency
2009,Beaufort,14.451880221731793,58,published,Beaufort
2009,Bech,,3,source suppressed,Bech
2009,Beckerich,10.779463249209389,71,published,Beckerich
2009,Berdorf,,13,source suppressed,Berdorf
2009,Bertrange,15.663420044515895,416,published,Bertrange
2009,Bettembourg,12.23818053351108,136,published,Bettembourg
2009,Bettendorf,,8,source suppressed,Bettendorf
2009,Betzdorf,13.51477776323681,42,published,Betzdorf
2009,Bissen,13.105413656953464,51,published,Bissen
2009,Biwer,,18,source suppressed,Biwer
2009,Helperknapp,,31,component unavailable,Boevange-sur-Attert | Tuntange
2009,Boulaide,,17,source suppressed,Boulaide
2009,Bourscheid,,5,source suppressed,Bourscheid
2009,Bous-Waldbredimus,13.588058427681428,64,published,Bous | Waldbredimus
2009,Schengen,,74,component unavailable,Burmerange | Schengen | Wellenstein
2009,Clervaux,,127,component unavailable,Clervaux | Heinerscheid | Munshausen
2009,Colmar-Berg,12.106541641047205,53,published,Colmar-Berg
2009,Consdorf,,8,source suppressed,Consdorf
2009,Parc Hosingen,,35,component unavailable,Consthum | Hoscheid | Hosingen
2009,Contern,14.242638245622663,80,published,Contern
2009,Dalheim,,16,source suppressed,Dalheim
2009,Diekirch,11.501811087843786,82,published,Diekirch
2009,Differdange,13.072156557550283,288,published,Differdange
2009,Dippach,12.24250721339099,58,published,Dippach
2009,Dudelange,13.46052304575236,258,published,Dudelange
2009,Echternach,12.441888161144545,123,published,Echternach
2009,Ell,10.54948986476194,39,published,Ell
2009,Vallée de l'Ernz,,27,component unavailable,Ermsdorf | Medernach
2009,Erpeldange-sur-Sûre,,21,source suppressed,Erpeldange
2009,Esch-sur-Alzette,13.884455144405946,943,published,Esch-sur-Alzette
2009,Esch-sur-Sûre,,30,component unavailable,Esch-sur-Sûre | Heiderscheid | Neunhausen
2009,Wiltz,,81,component unavailable,Eschweiler | Wiltz
2009,Ettelbruck,12.163489626545475,139,published,Ettelbruck
2009,Feulen,,14,source suppressed,Feulen
2009,Fischbach,,3,source suppressed,Fischbach
2009,Flaxweiler,12.602230744478247,39,published,Flaxweiler
2009,Frisange,12.5684544728605,90,published,Frisange
2009,Garnich,,27,source suppressed,Garnich
2009,Goesdorf,,12,source suppressed,Goesdorf
2009,Grevenmacher,12.571270316975738,202,published,Grevenmacher
2009,Groussbus-Wal,,13,component unavailable,Grosbous | Wahl
2009,Heffingen,,4,source suppressed,Heffingen
2009,Hesperange,14.219071488213501,714,published,Hesperange
2009,Habscht,,114,component unavailable,Hobscheid | Septfontaines
2009,Junglinster,13.259123536373457,69,published,Junglinster
2009,Kayl,12.733690926615195,69,published,Kayl
2009,Kehlen,12.534650158917554,91,published,Kehlen
2009,Kiischpelt,,10,source suppressed,Kiischpelt
2009,Koerich,,17,source suppressed,Koerich
2009,Kopstal,14.788896198382876,125,published,Kopstal
2009,Lac de la Haute-Sûre,,6,source suppressed,Lac de la Haute-Sûre
2009,Larochette,,28,source suppressed,Larochette
2009,Lenningen,,22,source suppressed,Lenningen
2009,Leudelange,14.301746072393293,85,published,Leudelange
2009,Lintgen,13.124634409951224,65,published,Lintgen
2009,Lorentzweiler,14.503619910135274,115,published,Lorentzweiler
2009,Luxembourg,17.420624143994186,6887,published,Luxembourg-Ville
2009,Mamer,13.401436419234907,514,published,Mamer
2009,Manternach,,26,source suppressed,Manternach
2009,Mersch,12.66622090524022,284,published,Mersch
2009,Mertert,12.131922491306177,54,published,Mertert
2009,Mertzig,11.548851353292962,33,published,Mertzig
2009,Rosport-Mompach,,33,component unavailable,Mompach | Rosport
2009,Mondercange,13.635860182555238,73,published,Mondercange
2009,Mondorf-les-Bains,13.06070797352567,181,published,Mondorf-les-Bains
2009,Niederanven,14.546445968375474,102,published,Niederanven
2009,Nommern,,5,source suppressed,Nommern
2009,Pétange,12.11334068360874,310,published,Pétange
2009,Préizerdaul,,3,source suppressed,Préizerdaul
2009,Putscheid,,17,source suppressed,Putscheid
2009,Rambrouch,10.413911263924442,34,published,Rambrouch
2009,Reckange-sur-Mess,,15,source suppressed,Reckange-sur-Mess
2009,Redange/Attert,10.517445590437498,57,published,Redange-sur-Attert
2009,Reisdorf,,11,source suppressed,Reisdorf
2009,Remich,14.293861362676484,175,published,Remich
2009,Roeser,13.490110244656677,172,published,Roeser
2009,Rumelange,13.951629576803617,45,published,Rumelange
2009,Saeul,11.459652022453447,36,published,Saeul
2009,Sandweiler,14.394059832019927,81,published,Sandweiler
2009,Sanem,12.430730118594742,144,published,Sanem
2009,Schieren,,15,source suppressed,Schieren
2009,Schifflange,13.6095776267837,84,published,Schifflange
2009,Schuttrange,13.684300304395052,78,published,Schuttrange
2009,Stadtbredimus,,24,source suppressed,Stadtbredimus
2009,Steinfort,12.790208851259838,101,published,Steinfort
2009,Steinsel,13.774966706006191,97,published,Steinsel
2009,Strassen,16.546243143474552,735,published,Strassen
2009,Tandel,,0,source suppressed,Tandel
2009,Troisvierges,9.676257419820312,33,published,Troisvierges
2009,Useldange,,22,source suppressed,Useldange
2009,Vianden,,6,source suppressed,Vianden
2009,Vichten,11.097324635013107,36,published,Vichten
2009,Waldbillig,,7,source suppressed,Waldbillig
2009,Walferdange,14.691737226652375,442,published,Walferdange
2009,Weiler-la-Tour,,21,source suppressed,Weiler-la-Tour
2009,Weiswampach,,18,source suppressed,Weiswampach
2009,Wincrange,10.625054079086063,31,published,Wincrange
2009,Winseler,10.125697841363863,32,published,Winseler
2009,Wormeldange,10.781546800105408,48,published,Wormeldange
2010,Käerjeng,,240,component unavailable,Bascharage | Clémency
2010,Beaufort,15.0099327,35,published,Beaufort
2010,Bech,,4,source suppressed,Bech
2010,Beckerich,10.4885333,41,published,Beckerich
2010,Berdorf,,15,source suppressed,Berdorf
2010,Bertrange,15.1206633,442,published,Bertrange
2010,Bettembourg,12.9698204,125,published,Bettembourg
2010,Bettendorf,,17,source suppressed,Bettendorf
2010,Betzdorf,,27,source suppressed,Betzdorf
2010,Bissen,12.6776676,32,published,Bissen
2010,Biwer,,20,source suppressed,Biwer
2010,Helperknapp,,12,component unavailable,Boevange-sur-Attert | Tuntange
2010,Boulaide,,10,source suppressed,Boulaide
2010,Bourscheid,,19,source suppressed,Bourscheid
2010,Bous-Waldbredimus,,39,component unavailable,Bous | Waldbredimus
2010,Schengen,,140,component unavailable,Burmerange | Schengen | Wellenstein
2010,Clervaux,,78,component unavailable,Clervaux | Heinerscheid | Munshausen
2010,Colmar-Berg,11.5646745,49,published,Colmar-Berg
2010,Consdorf,,12,source suppressed,Consdorf
2010,Parc Hosingen,,39,component unavailable,Consthum | Hoscheid | Hosingen
2010,Contern,14.1982318,91,published,Contern
2010,Dalheim,,4,source suppressed,Dalheim
2010,Diekirch,11.6207772,76,published,Diekirch
2010,Differdange,13.585109,442,published,Differdange
2010,Dippach,14.550342,61,published,Dippach
2010,Dudelange,12.8067778,263,published,Dudelange
2010,Echternach,12.9839132,135,published,Echternach
2010,Ell,10.5740589,37,published,Ell
2010,Vallée de l'Ernz,,16,component unavailable,Ermsdorf | Medernach
2010,Erpeldange-sur-Sûre,11.7170422,34,published,Erpeldange
2010,Esch-sur-Alzette,13.71926,889,published,Esch-sur-Alzette
2010,Esch-sur-Sûre,,30,component unavailable,Esch-sur-Sûre | Heiderscheid | Neunhausen
2010,Wiltz,,92,component unavailable,Eschweiler | Wiltz
2010,Ettelbruck,12.1718079,230,published,Ettelbruck
2010,Feulen,,10,source suppressed,Feulen
2010,Fischbach,13.7589151,30,published,Fischbach
2010,Flaxweiler,12.6838527,39,published,Flaxweiler
